Time   5.932238456613483 	 ReceiveTXN: 7 0 9
Time   5.932238456613483 	 Money in circulation = 200.0 coins
Time   5.981080537827659 	 ReceiveTXN: 4 1 10
Time   5.981080537827659 	 Money in circulation = 200.0 coins
Time   5.999670118732105 	 ReceiveTXN: 4 9 10
Time   5.999670118732105 	 Money in circulation = 200.0 coins
Time   6.011050827853881 	 ReceiveTXN: 4 9 9
Time   6.011050827853881 	 Money in circulation = 200.0 coins
Time   6.029244974169373 	 ReceiveTXN: 1 3 10
Time   6.029244974169373 	 Money in circulation = 200.0 coins
Time   6.074990722014783 	 ReceiveTXN: 9 4 9
Time   6.074990722014783 	 Money in circulation = 200.0 coins
Time   6.264235493372961 	 ReceiveTXN: 3 0 10
Time   6.264235493372961 	 Money in circulation = 200.0 coins
Time   6.298962801913959 	 ReceiveTXN: 9 5 10
Time   6.298962801913959 	 Money in circulation = 200.0 coins
Time   6.481550500662732 	 ReceiveTXN: 3 8 10
Time   6.481550500662732 	 Money in circulation = 200.0 coins
Time   6.520508827967916 	 ReceiveTXN: 0 6 10
Time   6.520508827967916 	 Money in circulation = 200.0 coins
Time   6.597454433509388 	 ReceiveTXN: 5 2 10
Time   6.597454433509388 	 Money in circulation = 200.0 coins
Time   6.625689714998886 	 ReceiveTXN: 6 2 10
Time   6.625689714998886 	 Money in circulation = 200.0 coins
Time   6.711446580595575 	 ReceiveTXN: 8 6 10
Time   6.711446580595575 	 Money in circulation = 200.0 coins
Time   6.7359248505733875 	 GenerateBlock: 9
Time   6.7359248505733875 	 Money in circulation = 250.0 coins
Time   6.7389802354554345 	 ReceiveTXN: 0 7 10
Time   6.7389802354554345 	 Money in circulation = 250.0 coins
Time   6.744124007328716 	 ReceiveTXN: 8 7 10
Time   6.744124007328716 	 Money in circulation = 250.0 coins
Time   6.796029437884757 	 ReceiveTXN: 2 6 10
Time   6.796029437884757 	 Money in circulation = 250.0 coins
Time   6.974696889161227 	 ReceiveTXN: 6 8 10
Time   6.974696889161227 	 Money in circulation = 250.0 coins
Time   7.037145698901522 	 ReceiveBlock: 9 5 5
Time   7.037145698901522 	 Money in circulation = 250.0 coins
Time   7.095731610875015 	 ReceiveBlock: 9 4 5
Time   7.095731610875015 	 Money in circulation = 250.0 coins
Time   7.113239993794604 	 ReceiveTXN: 7 8 10
Time   7.113239993794604 	 Money in circulation = 250.0 coins
Time   7.33906906851317 	 ReceiveBlock: 5 2 5
Time   7.33906906851317 	 Money in circulation = 250.0 coins
Time   7.378982416243714 	 ReceiveBlock: 4 1 5
Time   7.378982416243714 	 Money in circulation = 250.0 coins
Time   7.427665715109836 	 ReceiveBlock: 1 3 5
Time   7.427665715109836 	 Money in circulation = 250.0 coins
Time   7.4541990139923575 	 GenerateBlock: 4
Time   7.4541990139923575 	 Money in circulation = 300.0 coins
Time   7.536286680594969 	 ReceiveBlock: 2 6 5
Time   7.536286680594969 	 Money in circulation = 300.0 coins
Time   7.663690227100845 	 ReceiveBlock: 3 0 5
Time   7.663690227100845 	 Money in circulation = 300.0 coins
Time   7.737557615985153 	 ReceiveBlock: 4 1 6
Time   7.737557615985153 	 Money in circulation = 300.0 coins
Time   7.755976735662387 	 ReceiveBlock: 4 9 6
Time   7.755976735662387 	 Money in circulation = 300.0 coins
Time   7.788671126120157 	 ReceiveBlock: 1 3 6
Time   7.788671126120157 	 Money in circulation = 300.0 coins
Time   7.8816349464269235 	 ReceiveBlock: 3 8 5
Time   7.8816349464269235 	 Money in circulation = 300.0 coins
Time   7.887228171436416 	 GenerateTXN: 2
Time   7.887228171436416 	 Money in circulation = 285.0 coins
Time   7.898902686036113 	 ReceiveBlock: 6 0 5
